customer_id,name,country,city,state
138688,Darrin Van Huff,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
115812,Brosina Hoffman,United States,Los Angeles,California
161389,Irene Maddox,United States,Seattle,Washington
167164,Alejandro Grove,United States,West Jordan,Utah
143336,Zuschuss Donatelli,United States,San Francisco,California
143336,Zuschuss Donatelli,United States,San Francisco,California
143336,Zuschuss Donatelli,United States,San Francisco,California
106320,Emily Burns,United States,Orem,Utah
121755,Eric Hoffmann,United States,Los Angeles,California
121755,Eric Hoffmann,United States,Los Angeles,California
101343,Ruben Ausman,United States,Los Angeles,California
135545,Kunst Miller,United States,Los Angeles,California
135545,Kunst Miller,United States,Los Angeles,California
135545,Kunst Miller,United States,Los Angeles,California
135545,Kunst Miller,United States,Los Angeles,California
106376,Brendan Sweed,United States,Gilbert,Arizona
106376,Brendan Sweed,United States,Gilbert,Arizona
139451,Duane Noonan,United States,San Francisco,California
139451,Duane Noonan,United States,San Francisco,California
109806,Jim Sink,United States,Los Angeles,California
109806,Jim Sink,United States,Los Angeles,California
109806,Jim Sink,United States,Los Angeles,California
109484,Roger Barcio,United States,Portland,Oregon
157833,Katherine Ducich,United States,San Francisco,California
156867,Lena Cacioppo,United States,Aurora,Colorado
156867,Lena Cacioppo,United States,Aurora,Colorado
156867,Lena Cacioppo,United States,Aurora,Colorado
110457,Dave Kipp,United States,Seattle,Washington
107272,Troy Staebel,United States,Phoenix,Arizona
107272,Troy Staebel,United States,Phoenix,Arizona
125969,Lindsay Shagiari,United States,Los Angeles,California
125969,Lindsay Shagiari,United States,Los Angeles,California
145583,Lena Creighton,United States,Roseville,California
145583,Lena Creighton,United States,Roseville,California
145583,Lena Creighton,United States,Roseville,California
145583,Lena Creighton,United States,Roseville,California
145583,Lena Creighton,United States,Roseville,California
145583,Lena Creighton,United States,Roseville,California
145583,Lena Creighton,United States,Roseville,California
106180,Sally Hughsby,United States,San Francisco,California
106180,Sally Hughsby,United States,San Francisco,California
106180,Sally Hughsby,United States,San Francisco,California
110744,Helen Andreada,United States,Pasadena,California
158834,Tamara Willingham,United States,Scottsdale,Arizona
158834,Tamara Willingham,United States,Scottsdale,Arizona
124919,Stephanie Phelps,United States,San Jose,California
124919,Stephanie Phelps,United States,San Jose,California
124919,Stephanie Phelps,United States,San Jose,California
118948,Neil Knudson,United States,Seattle,Washington
104269,Dave Brooks,United States,Seattle,Washington
162733,Ted Trevino,United States,Los Angeles,California
154508,Ruben Dartt,United States,Carlsbad,New Mexico
113817,Max Jones,United States,Seattle,Washington
118962,Chad Sievert,United States,Los Angeles,California
118962,Chad Sievert,United States,Los Angeles,California
118962,Chad Sievert,United States,Los Angeles,California
123260,Frank Merwin,United States,Los Angeles,California
131457,Mary Zewe,United States,Redlands,California
133690,Bruce Stewart,United States,Denver,Colorado
133690,Bruce Stewart,United States,Denver,Colorado
108329,Laurel Elliston,United States,Whittier,California
130162,Jonathan Howell,United States,Los Angeles,California
130162,Jonathan Howell,United States,Los Angeles,California
160514,David Bremer,United States,Santa Clara,California
154739,Logan Haushalter,United States,San Francisco,California
145625,Kelly Collister,United States,San Diego,California
145625,Kelly Collister,United States,San Diego,California
155040,Alan Hwang,United States,Brentwood,California
163979,Kristen Hastings,United States,San Francisco,California
155334,Helen Andreada,United States,San Francisco,California
155334,Helen Andreada,United States,San Francisco,California
155334,Helen Andreada,United States,San Francisco,California
118136,Barry Blumstein,United States,Inglewood,California
118136,Barry Blumstein,United States,Inglewood,California
130890,Jas O'Carroll,United States,Los Angeles,California
130883,Tracy Blumstein,United States,Portland,Oregon
130883,Tracy Blumstein,United States,Portland,Oregon
130883,Tracy Blumstein,United States,Portland,Oregon
111451,Kelly Lampkin,United States,Colorado Springs,Colorado
